"time","cm.car_x"
1.12,-0.135701
1.128,-0.13548
1.136,-0.135225
1.144,-0.134939
1.152,-0.134624
1.16,-0.134284
1.168,-0.133921
1.176,-0.133537
1.184,-0.133136
1.192,-0.132721
1.2,-0.132293
1.208,-0.131856
1.216,-0.131412
1.224,-0.130964
1.232,-0.130514
1.24,-0.130065
1.248,-0.129619
1.256,-0.129177
1.264,-0.128743
1.272,-0.128318
1.28,-0.127904
1.288,-0.127503
1.296,-0.127116
1.304,-0.126745
1.312,-0.12639
1.32,-0.126054
1.328,-0.125737
1.336,-0.12544
1.344,-0.125164
1.352,-0.124909
1.36,-0.124676
1.368,-0.124466
1.376,-0.124278
1.384,-0.124112
1.392,-0.12397
1.4,-0.123849
1.408,-0.123751
1.416,-0.123675
1.424,-0.12362
1.432,-0.123586
1.44,-0.123572
1.448,-0.123577
1.456,-0.123602
1.464,-0.123644
1.472,-0.123703
1.48,-0.123779
1.488,-0.123869
1.496,-0.123974
1.504,-0.124091
1.512,-0.12422
1.52,-0.12436
1.528,-0.124509
1.536,-0.124667
1.544,-0.124832
1.552,-0.125003
1.56,-0.125179
1.568,-0.125359
1.576,-0.125542
1.584,-0.125727
1.592,-0.125912
1.6,-0.126098
1.608,-0.126282
1.616,-0.126464
1.624,-0.126644
1.632,-0.126819
1.64,-0.12699
1.648,-0.127156
1.656,-0.127316
1.664,-0.12747
1.672,-0.127617
1.68,-0.127756
1.688,-0.127887
1.696,-0.128011
1.704,-0.128125
1.712,-0.128231
1.72,-0.128327
1.728,-0.128415
1.736,-0.128493
1.744,-0.128562
1.752,-0.128621
1.76,-0.128672
1.768,-0.128713
1.776,-0.128745
1.784,-0.128768
1.792,-0.128783
1.8,-0.128789
1.808,-0.128787
1.816,-0.128778
1.824,-0.128761
1.832,-0.128736
1.84,-0.128706
1.848,-0.128669
1.856,-0.128626
1.864,-0.128578
1.872,-0.128525
1.88,-0.128467
1.888,-0.128406
1.896,-0.128341
1.904,-0.128273
1.912,-0.128203
1.92,-0.12813
1.928,-0.128056
1.936,-0.12798
1.944,-0.127904
1.952,-0.127827
1.96,-0.127751
1.968,-0.127675
1.976,-0.1276
1.984,-0.127526
1.992,-0.127453
2,-0.127382
2.008,-0.127314
2.016,-0.127248
2.024,-0.127184
2.032,-0.127123
2.04,-0.127066
2.048,-0.127011
2.056,-0.12696
2.064,-0.126913
2.072,-0.126869
2.08,-0.126829
2.088,-0.126793
2.096,-0.12676
2.104,-0.126732
2.112,-0.126707
2.12,-0.126686
2.128,-0.126669
2.136,-0.126655
2.144,-0.126646
2.152,-0.126639
2.16,-0.126637
2.168,-0.126637
2.176,-0.126641
2.184,-0.126648
2.192,-0.126658
2.2,-0.12667
2.208,-0.126685
2.216,-0.126703
2.224,-0.126723
2.232,-0.126744
2.24,-0.126768
2.248,-0.126793
2.256,-0.12682
2.264,-0.126848
2.272,-0.126877
2.28,-0.126907
2.288,-0.126937
2.296,-0.126968
2.304,-0.127
2.312,-0.127031
2.32,-0.127063
2.328,-0.127094
2.336,-0.127125
2.344,-0.127156
2.352,-0.127186
2.36,-0.127215
2.368,-0.127243
2.376,-0.127271
2.384,-0.127297
2.392,-0.127322
2.4,-0.127346
2.408,-0.127368
2.416,-0.127389
2.424,-0.127409
2.432,-0.127427
2.44,-0.127444
2.448,-0.127459
2.456,-0.127472
2.464,-0.127484
2.472,-0.127495
2.48,-0.127503
2.488,-0.127511
2.496,-0.127516
2.504,-0.12752
2.512,-0.127523
2.52,-0.127524
2.528,-0.127524
2.536,-0.127522
2.544,-0.12752
2.552,-0.127516
2.56,-0.127511
2.568,-0.127505
2.576,-0.127497
2.584,-0.127489
2.592,-0.12748
2.6,-0.127471
2.608,-0.12746
2.616,-0.127449
2.624,-0.127438
2.632,-0.127426
2.64,-0.127414
2.648,-0.127401
2.656,-0.127388
2.664,-0.127375
2.672,-0.127362
2.68,-0.127349
2.688,-0.127336
2.696,-0.127323
2.704,-0.127311
2.712,-0.127298
2.72,-0.127286
2.728,-0.127275
2.736,-0.127263
2.744,-0.127252
2.752,-0.127242
2.76,-0.127232
2.768,-0.127223
2.776,-0.127214
2.784,-0.127206
2.792,-0.127198
2.8,-0.127192
2.808,-0.127185
2.816,-0.12718
2.824,-0.127175
2.832,-0.127171
2.84,-0.127167
2.848,-0.127164
2.856,-0.127162
2.864,-0.12716
2.872,-0.127159
2.88,-0.127158
2.888,-0.127158
2.896,-0.127159
2.904,-0.12716
2.912,-0.127162
2.92,-0.127164
2.928,-0.127166
2.936,-0.127169
2.944,-0.127172
2.952,-0.127176
2.96,-0.12718
2.968,-0.127184
2.976,-0.127189
2.984,-0.127194
2.992,-0.127198
3,-0.127204
3.008,-0.127209
3.016,-0.127214
3.024,-0.127219
3.032,-0.127225
3.04,-0.12723
3.048,-0.127235
3.056,-0.127241
3.064,-0.127246
3.072,-0.127251
3.08,-0.127256
3.088,-0.127261
3.096,-0.127266
3.104,-0.12727
3.112,-0.127274
3.12,-0.127278
3.128,-0.127282
3.136,-0.127286
3.144,-0.127289
3.152,-0.127292
3.16,-0.127295
3.168,-0.127298
3.176,-0.1273
3.184,-0.127302
3.192,-0.127304
3.2,-0.127305
3.208,-0.127307
3.216,-0.127308
3.224,-0.127308
3.232,-0.127309
3.24,-0.127309
3.248,-0.127309
3.256,-0.127309
3.264,-0.127308
3.272,-0.127308
3.28,-0.127307
3.288,-0.127306
3.296,-0.127305
3.304,-0.127303
3.312,-0.127302
3.32,-0.1273
3.328,-0.127298
3.336,-0.127297
3.344,-0.127295
3.352,-0.127293
3.36,-0.12729
3.368,-0.127288
3.376,-0.127286
3.384,-0.127284
3.392,-0.127282
3.4,-0.127279
3.408,-0.127277
3.416,-0.127275
3.424,-0.127273
3.432,-0.127271
3.44,-0.127269
3.448,-0.127267
3.456,-0.127265
3.464,-0.127263
3.472,-0.127261
3.48,-0.127259
3.488,-0.127258
3.496,-0.127256
3.504,-0.127255
3.512,-0.127254
3.52,-0.127252
3.528,-0.127251
3.536,-0.12725
3.544,-0.127249
3.552,-0.127249
3.56,-0.127248
3.568,-0.127248
3.576,-0.127247
3.584,-0.127247
3.592,-0.127247
3.6,-0.127247
3.608,-0.127247
3.616,-0.127247
3.624,-0.127247
3.632,-0.127247
3.64,-0.127248
3.648,-0.127248
3.656,-0.127249
3.664,-0.127249
3.672,-0.12725
3.68,-0.12725
3.688,-0.127251
3.696,-0.127252
3.704,-0.127253
3.712,-0.127254
3.72,-0.127255
3.728,-0.127255
3.736,-0.127256
3.744,-0.127257
3.752,-0.127258
3.76,-0.127259
3.768,-0.12726
3.776,-0.127261
3.784,-0.127262
3.792,-0.127263
3.8,-0.127264
3.808,-0.127264
3.816,-0.127265
3.824,-0.127266
3.832,-0.127267
3.84,-0.127267
3.848,-0.127268
3.856,-0.127269
3.864,-0.127269
3.872,-0.12727
3.88,-0.12727
3.888,-0.127271
3.896,-0.127271
3.904,-0.127271
3.912,-0.127272
3.92,-0.127272
3.928,-0.127272
3.936,-0.127272
3.944,-0.127273
3.952,-0.127273
3.96,-0.127273
3.968,-0.127273
3.976,-0.127273
3.984,-0.127273
3.992,-0.127272
4,-0.127272
4,-0.127272
